row,i11,i12,i13,i14,i21,i22,i23,i24,i31,i32,i33,i34
53,1.072326587,1.080900679,-0.923386367,-0.927673413,0.288932648,0.521333579,-1.594866886,-1.711067352,0.692796463,0.809807733,-1.248697902,-1.307203537
54,1.61921267,1.345492213,-0.517647558,-0.38078733,1.029309247,0.924132626,-1.023279064,-0.970690753,0.647274062,0.65125035,-1.350737794,-1.352725938
55,1.271867421,1.317021618,-0.705555481,-0.728132579,1.60488185,1.554889067,-0.420114541,-0.39511815,2.214288065,1.990179221,0.102233643,0.214288065
56,2.655649393,2.352355272,0.504002332,0.655649393,2.321483742,2.113665521,0.217574631,0.321483742,3.401981375,2.885449545,1.14371546,1.401981375
57,-0.194293406,0.115457155,-2.039418125,-2.194293406,-0.126011241,0.16423013,-1.980890555,-2.126011241,-0.328261248,0.019765839,-2.154247704,-2.328261248
58,1.095989237,0.979066487,-0.962472138,-0.904010763,0.413297762,0.491429719,-1.547636259,-1.586702238,0.101284932,0.268563412,-1.815075828,-1.898715068
59,1.257613859,1.23284301,-0.754771565,-0.742386141,0.90982308,0.984421025,-1.052877947,-1.09017692,1.296157142,1.260373927,-0.721734466,-0.703842858
60,1.110642717,1.067454403,-0.91095144,-0.889357283,1.94200175,1.661282284,-0.198357983,-0.05799825,1.625745422,1.435384907,-0.469434836,-0.374254578
61,1.986232966,1.91030507,-0.051730982,-0.013767034,1.163905468,1.322928285,-0.756583123,-0.836094532,2.59934386,2.348241423,0.473792642,0.59934386
62,0.636601582,0.737066273,-1.313166073,-1.363398418,0.70387053,0.785115521,-1.255506974,-1.29612947,0.664267035,0.756827311,-1.289452827,-1.335732965
63,0.97367664,1.040318117,-0.993002621,-1.02632336,2.24354479,1.947366795,0.095455792,0.24354479,2.203987911,1.919111882,0.061549897,0.203987911
64,0.295397879,0.499112956,-1.602744582,-1.704602121,0.590686492,0.710033394,-1.349640057,-1.409313508,0.51596027,0.656657521,-1.413691105,-1.48403973
65,0.026764179,0.241122424,-1.866056699,-1.973235821,-0.422468508,-0.079758067,-2.251113287,-2.422468508,-0.65560017,-0.246280683,-2.450940426,-2.65560017
66,1.269107739,1.208402011,-0.761245125,-0.730892261,0.759877661,0.844666241,-1.197728049,-1.240122339,1.006094105,1.020535129,-0.986685383,-0.993905895
67,0.772259256,0.682617301,-1.272561721,-1.227740744,0.909680306,0.780775193,-1.154772251,-1.090319694,-0.024954949,0.113178582,-1.955888184,-2.024954949
68,1.476769417,1.466168572,-0.528531005,-0.523230583,1.230520798,1.290276701,-0.739601251,-0.769479202,2.02980803,1.861196153,-0.054497909,0.02980803
69,1.691563229,1.507109735,-0.400663518,-0.308436771,1.028150172,1.033243266,-0.969303281,-0.971849828,1.303030621,1.229586444,-0.733691467,-0.696969379
70,3.086842781,2.676825844,0.881834312,1.086842781,2.160824398,2.015384142,0.08810427,0.160824398,3.514017824,2.981950875,1.24798435,1.514017824
71,0.798931042,0.897137276,-1.151965841,-1.201068958,1.025652627,1.059081265,-0.957633054,-0.974347373,1.193001361,1.178616074,-0.814191283,-0.806998639
72,-0.829402142,-0.367568367,-2.598485255,-2.829402142,0.947851407,0.901898454,-1.07512507,-1.052148593,0.063269787,0.27005444,-1.833337886,-1.936730213
73,1.887234873,1.686087168,-0.213338979,-0.112765127,1.481536644,1.396302719,-0.561080319,-0.518463356,1.905540235,1.699162427,-0.197648669,-0.094459765
74,0.223330177,0.365170329,-1.705749747,-1.776669823,1.126750318,1.01047043,-0.931389626,-0.873249682,0.393369537,0.486627015,-1.560001724,-1.606630463
75,0.142303948,0.279905672,-1.78889519,-1.857696052,0.765481326,0.72503237,-1.254743152,-1.234518674,-0.041988762,0.148268021,-1.946860371,-2.041988762
76,1.805333829,1.600219556,-0.297223308,-0.194666171,1.377493325,1.294619195,-0.66394374,-0.622506675,1.650104003,1.489341108,-0.430277445,-0.349895997
77,0.667671333,0.724625935,-1.303851366,-1.332328667,-0.161930568,0.132053148,-2.01493871,-2.161930568,-0.13246828,0.153097639,-1.98968532,-2.13246828
78,0.145829207,0.389972749,-1.732099022,-1.854170793,0.257169821,0.46950176,-1.636664209,-1.742830179,0.224314758,0.446033857,-1.664825692,-1.775685242
79,1.149214833,1.112954137,-0.868915515,-0.850785167,0.788790435,0.855508139,-1.177850713,-1.211209565,0.933714833,0.959025565,-1.053629801,-1.066285167
80,0.725919762,0.753698035,-1.260191101,-1.274080238,0.803117595,0.808839344,-1.194021531,-1.196882405,0.488160264,0.583869822,-1.463984957,-1.511839736
81,0.83343431,0.832281473,-1.167142108,-1.16656569,1.619620405,1.393842969,-0.493268313,-0.380379595,1.102287914,1.024319762,-0.936696162,-0.897712086
82,1.229142696,1.152086616,-0.809385344,-0.770857304,2.484399807,2.048698838,0.266549322,0.484399807,2.040912673,1.731922314,-0.113582507,0.040912673
83,1.093964077,1.168096083,-0.86896992,-0.906035923,2.161866246,1.930883347,0.046374796,0.161866246,2.424618908,2.11856382,0.271591364,0.424618908
84,0.993993544,0.865118234,-1.070444111,-1.006006456,0.687743269,0.646368038,-1.332944346,-1.312256731,0.02549126,0.173330889,-1.900588925,-1.97450874
85,1.023843263,1.067940575,-0.954108081,-0.976156737,0.036175417,0.362463542,-1.80068052,-1.963824583,0.626464134,0.784098341,-1.294718762,-1.373535866
86,1.332132486,1.265776093,-0.70104571,-0.667867514,0.980323532,1.014483983,-1.002596243,-1.019676468,1.250668244,1.207587349,-0.770872204,-0.749331756
87,2.08671726,1.867349458,-0.022966641,0.08671726,1.756902611,1.631767565,-0.305664912,-0.243097389,2.382054578,2.078304685,0.230179632,0.382054578
88,1.213371866,1.126335568,-0.830146283,-0.786628134,1.573320254,1.38344156,-0.521619093,-0.426679746,1.314772377,1.198764505,-0.743231559,-0.685227623
89,0.882853533,0.94803985,-1.084553308,-1.117146467,1.580431159,1.446309583,-0.486629629,-0.419568841,1.554307838,1.427650068,-0.509021047,-0.445692162
90,1.88429497,1.654533446,-0.230585792,-0.11570503,1.897052849,1.663646217,-0.219650467,-0.102947151,2.025432641,1.755346069,-0.109610645,0.025432641
91,1.53269669,1.333995919,-0.566653696,-0.46730331,0.339130218,0.481448439,-1.589710672,-1.660869782,0.428666444,0.545402886,-1.512965335,-1.571333556
92,1.746238213,1.636558822,-0.308601483,-0.253761787,2.069368001,1.867365813,-0.031633093,0.069368001,2.570293126,2.225169473,0.3977313,0.570293126
93,1.515232999,1.467486652,-0.508640174,-0.484767001,1.160965966,1.214438772,-0.812297631,-0.839034034,1.841616067,1.700617415,-0.228883259,-0.158383933
94,0.770529842,0.896111057,-1.166679551,-1.229470158,1.096265474,1.128779365,-0.887477581,-0.903734526,1.345132858,1.306541783,-0.67416268,-0.654867142
95,2.42850675,2.156376261,0.292441505,0.42850675,1.997472643,1.848494755,-0.077016301,-0.002527357,2.912225362,2.501889555,0.707057459,0.912225362
96,0.747364217,0.867416134,-1.192609825,-1.252635783,1.217017379,1.202882679,-0.790049971,-0.782982621,1.352558107,1.299697485,-0.673872204,-0.647441893
97,2.148155433,1.710688834,-0.070577867,0.148155433,1.397547298,1.174540167,-0.713956267,-0.602452702,0.990848833,0.884041263,-1.062554952,-1.009151167
98,1.900847814,1.594325689,-0.252413249,-0.099152186,0.353581039,0.489135135,-1.578641913,-1.646418961,0.534009168,0.61801237,-1.423989231,-1.465990832
99,0.467625964,0.514766036,-1.508804,-1.532374036,0.996598041,0.892603233,-1.055399363,-1.003401959,0.231754099,0.346286132,-1.710979885,-1.768245901
100,0.139485179,0.344769359,-1.757872731,-1.860514821,0.732748664,0.768528991,-1.249361172,-1.267251336,0.320448258,0.474028702,-1.60276152,-1.679551742
